376608.49586884,4941085.86813024,1
376608.50540227,4941072.59479157,1
376598.69044878,4941055.68956855,1
376586.88467581,4941039.85862174,1
376579.25642416,4941022.03011376,1
376575.29980516,4941002.69869915,1
376576.92435402,4940983.60371762,1
376593.28472785,4940975.91237915,1
376611.45432667,4940981.69587058,1
376627.75300302,4940992.80487356,1
376646.95288503,4941000.72137294,1
376667.51308269,4941000.4308816,1
376686.98577454,4940996.03438428,1
376703.93553032,4940986.62927774,1
376711.19733273,4940968.95364468,1
376713.33270561,4940949.48452119,1
376718.44531161,4940930.70856916,1
376718.51847087,4940930.64000349,1
